Stock No,TICKER,CUSIP,Avg CashFlow,Avg Lev Ratio (BV),Avg Lev Ratio (MV),Avg Earnings
1,AIR,"3,61,105",349.5,0.4,0.6,36.4
2,AAL,02376R102,-4431.2,0.7,9.9,-361.4
3,CECE,"12,51,41,101",-114.2,0.4,0.5,2
4,AVX,"24,44,107",1721.4,0,0,118.2
5,AAN,"25,35,300",-1060.5,0.2,0.2,82.2
6,WDDD,98159J101,-32.1,-1.2,0.3,-1.6
7,ACET,"44,46,100",374.2,0.1,0.1,12.8
8,ACMTA,"46,16,207",-8.3,0.1,0.5,2.2
9,ACU,"48,16,104",38.5,0.4,0.4,3
10,RWC,"75,95,25,108",36.3,0.2,0.4,1.6
11,AE,"63,51,308",391.1,0,0.1,9.2
12,AMD,"79,03,107",4852.6,0.9,0.8,-502
13,ASMIY,N07045102,1968.8,0.2,0.2,137.7
14,AEM,"84,74,108",1802.8,0.2,0.1,19
15,APD,"91,58,106",-1209.4,0.4,0.2,800.8
16,AIRT,"92,07,101",86.9,0.1,0.1,2.2
17,ALAN,"1,16,12,702",-11.9,0.1,0.1,-3.3
18,ALK,"1,16,59,109",7400.6,0.4,0.9,161.9
19,ATRI,"4,99,04,105",144.7,0.1,0.1,15.4
20,MATX,57686G105,1216.3,0.3,0.3,87.9
21,AGMJF,"1,56,44,107",1268.7,0.2,0.3,35.2
22,ALCO,"1,62,30,104",5.6,0.5,0.3,8.5
23,SWKS,83088M102,2205.1,0.1,0.1,103.1
24,HES,42809H107,28806.2,0.3,0.4,1349.7
25,ABLT,"2,45,91,406",-121.2,0.2,1.3,-1.3
26,ABM,"9,57,100",422.9,0.1,0.1,60.5
27,ECOL,91732J102,-204.4,0.2,0.2,17.4
28,AXP,"2,58,16,109",18831.2,0.5,0.8,3711.7
29,HAIPF,M52514102,24.1,0.4,0.8,7.2
30,AMS,"2,95,95,105",-88,1.2,2.5,0.6
31,AMSWA,"2,96,83,109",196.3,0,0,6.2
32,AVD,"3,03,71,108",-135.2,0.3,0.2,14.1
33,AME,"3,11,00,100",2826.3,0.4,0.2,265.1
34,AMGN,"3,11,62,100",11977.5,0.4,0.2,3369.6
35,AP,"3,20,37,103",590.7,0,0.1,11.3
36,ADI,"3,26,54,105",-3878.1,0.1,0,541.5
37,ALOG,"3,26,57,207",569.9,0,0,22.5
38,ANDR,"3,43,93,108",-69.5,0,0,-3.4
39,ANDE,"3,41,64,103",-127.4,0.3,0.7,43.3
40,NBR,G6359F103,-2549.9,0.6,0.7,236.7
41,APA,"3,74,11,105",-810.5,0.3,0.2,-217.2
42,APOG,"3,75,98,109",884.8,0.1,0.1,26.6
43,AAPL,"3,78,33,100",-4112.5,0,0,14541.8
44,AMAT,"3,82,22,105",7328.1,0.1,0,925.8
45,ATU,00508X203,2508.3,-0.2,0.5,62.1
46,TREC,"89,46,48,104",93.6,0.2,1.2,5.9
47,AOXY,00754B301,0,0.1,0.3,0
48,ADM,"3,94,83,102",-3095.7,0.3,0.4,1299.8
49,ARCB,03937C105,833.8,0.1,0.1,29.7
50,ARW,"4,27,35,100",-8708.5,0.4,0.6,215.4
