,PERNMO,YEAR,Annual Returns,MCap
1,10000,1985,0,0
2,10000,1986,-0.882142848,13542400
3,10000,1987,-0.575757348,15155449
4,10001,1985,0,0
5,10001,1986,0.217369078,970225
6,10001,1987,-0.10127512,982081
7,10001,1988,0.163160193,984064
8,10001,1989,0.687925758,996004
9,10001,1990,-0.008721164,1044484
10,10001,1991,0.607470829,1110916
11,10001,1992,0.012621245,1155625
12,10001,1993,0.367996675,1166400
13,10001,1994,-0.090928365,1190281
14,10001,1995,0.228628313,4946176
15,10001,1996,-0.090447775,5202961
16,10001,1997,0.164265312,5555449
17,10001,1998,0.124245382,5736025
18,10001,1999,-0.066220404,5861241
19,10001,2000,0.2147249,6002500
20,10001,2001,0.229015048,6254992
21,10001,2002,-0.318478502,6592054
22,10001,2003,-0.176303537,6713281
23,10001,2004,0.159663201,6739216
24,10001,2005,0.411362899,6744405
25,10001,2006,0.181931702,8587830
26,10001,2007,0.334089492,8844451
27,10001,2008,-0.078204206,12491875
28,10001,2009,0.324435341,18464209
29,10001,2010,0.073993715,19018321
30,10001,2011,0.139163139,61371556
31,10001,2012,-0.139379699,66487716
32,10001,2013,-0.090693842,66536649
33,10001,2014,0.442748934,109244304
34,10001,2015,-0.28216527,109998144
35,10001,2016,0.740636607,110355025
36,10001,2017,0.04398843,110670400
37,10002,1996,0.027778,0
38,10002,1997,-0.016917326,9012004
39,10002,1998,1.083140762,17867529
40,10002,1999,-0.192137682,18045504
41,10002,2000,-0.271324848,59737441
42,10002,2001,0.117022982,73736569
43,10002,2002,0.051802772,72709729
44,10002,2003,0.287282584,70006689
45,10002,2004,0.408959646,76387600
46,10002,2005,0.174736153,120297024
47,10002,2006,0.09717466,123209516
48,10002,2007,0.027351786,124277895
49,10002,2008,-0.489087661,125081856
50,10002,2009,-0.416385564,307160676
51,10002,2010,-0.251943402,309548836
52,10002,2011,-0.417219436,311134321
53,10002,2012,-0.507575982,322489280
54,10002,2013,1.215387842,322597472
55,10002,2014,0.150536249,0
56,10002,2015,-0.242989243,1380625
57,10002,2016,-0.135803312,1380625
58,10002,2017,-0.271428924,1380625
59,10002,2018,-0.156863109,1380625
60,10002,2019,-0.046511195,1380625
61,10002,2020,0.756097394,1380625
62,10002,2021,0.435854951,2079364
63,10002,2022,-0.005334381,8994001
64,10002,2023,0.095126979,8994001
65,10002,2024,0.015113515,9012004
66,10003,1985,0,0
67,10003,1986,-0.124999625,3610000
68,10003,1987,-0.256049289,4774225
69,10003,1988,0.429047578,4813636
70,10003,1989,-0.532994706,4813636
71,10003,1990,-0.705881959,4813636
72,10003,1991,-0.525000187,4813636
73,10003,1992,2.263161286,4813636
74,10003,1993,-0.338710522,4813636
75,10003,1994,-0.121951324,25280784
76,10003,1995,1.388887581,25381444
77,10005,1985,0,0
